DATE,M2,Change,% Change,Annualised change
1/13/1997,3823.9,3.7,0.097%,5.036%
1/20/1997,3824.9,1,0.026%,1.360%
1/27/1997,3826.7,1.8,0.047%,2.447%
2/3/1997,3828.1,1.4,0.037%,1.902%
2/10/1997,3837.6,9.5,0.248%,12.905%
2/17/1997,3837.1,-0.5,-0.013%,-0.678%
2/24/1997,3836.3,-0.8,-0.021%,-1.084%
3/3/1997,3838.5,2.2,0.057%,2.982%
3/10/1997,3851.9,13.4,0.349%,18.153%
3/17/1997,3850.6,-1.3,-0.034%,-1.755%
3/24/1997,3852,1.4,0.036%,1.891%
3/31/1997,3855.7,3.7,0.096%,4.995%
4/7/1997,3866.4,10.7,0.278%,14.431%
4/14/1997,3867.8,1.4,0.036%,1.883%
4/21/1997,3869.4,1.6,0.041%,2.151%
4/28/1997,3865,-4.4,-0.114%,-5.913%
5/5/1997,3867.9,2.9,0.075%,3.902%
5/12/1997,3874.5,6.6,0.171%,8.873%
5/19/1997,3877.3,2.8,0.072%,3.758%
5/26/1997,3887.5,10.2,0.263%,13.680%
6/2/1997,3887.3,-0.2,-0.005%,-0.268%
6/9/1997,3899.2,11.9,0.306%,15.919%
6/16/1997,3892.6,-6.6,-0.169%,-8.802%
6/23/1997,3893.8,1.2,0.031%,1.603%
6/30/1997,3900.1,6.3,0.162%,8.413%
7/7/1997,3912.4,12.3,0.315%,16.400%
7/14/1997,3910.7,-1.7,-0.043%,-2.259%
7/21/1997,3911.9,1.2,0.031%,1.596%
7/28/1997,3914.2,2.3,0.059%,3.057%
8/4/1997,3927.5,13.3,0.340%,17.669%
8/11/1997,3939,11.5,0.293%,15.226%
8/18/1997,3947.2,8.2,0.208%,10.825%
8/25/1997,3953.7,6.5,0.165%,8.563%
9/1/1997,3963,9.3,0.235%,12.232%
9/8/1997,3963.1,0.1,0.003%,0.131%
9/15/1997,3961.1,-2,-0.050%,-2.624%
9/22/1997,3960.7,-0.4,-0.010%,-0.525%
9/29/1997,3965.1,4.4,0.111%,5.777%
10/6/1997,3976.6,11.5,0.290%,15.082%
10/13/1997,3977.5,0.9,0.023%,1.177%
10/20/1997,3984,6.5,0.163%,8.498%
10/27/1997,3983.8,-0.2,-0.005%,-0.261%
11/3/1997,3992.3,8.5,0.213%,11.095%
11/10/1997,4001.2,8.9,0.223%,11.592%
11/17/1997,4000.4,-0.8,-0.020%,-1.040%
11/24/1997,4006.9,6.5,0.162%,8.449%
12/1/1997,4017.2,10.3,0.257%,13.367%
12/8/1997,4018.7,1.5,0.037%,1.942%
12/15/1997,4016.6,-2.1,-0.052%,-2.717%
12/22/1997,4021.1,4.5,0.112%,5.826%
12/29/1997,4029.2,8.1,0.201%,10.475%
1/5/1998,4044.8,15.6,0.387%,20.133%
1/12/1998,4042.8,-2,-0.049%,-2.571%
1/19/1998,4042.2,-0.6,-0.015%,-0.772%
1/26/1998,4047.5,5.3,0.131%,6.818%
2/2/1998,4055.6,8.1,0.200%,10.406%
2/9/1998,4070.3,14.7,0.362%,18.848%
2/16/1998,4076,5.7,0.140%,7.282%
2/23/1998,4086,10,0.245%,12.758%
3/2/1998,4094,8,0.196%,10.181%
3/9/1998,4106.1,12.1,0.296%,15.369%
3/16/1998,4107,0.9,0.022%,1.140%
3/23/1998,4102.4,-4.6,-0.112%,-5.824%
3/30/1998,4101.8,-0.6,-0.015%,-0.761%
4/6/1998,4125.2,23.4,0.570%,29.665%
4/13/1998,4128.9,3.7,0.090%,4.664%
4/20/1998,4133.2,4.3,0.104%,5.415%
4/27/1998,4128.3,-4.9,-0.119%,-6.165%
5/4/1998,4139.9,11.6,0.281%,14.611%
5/11/1998,4148.4,8.5,0.205%,10.677%
5/18/1998,4152.1,3.7,0.089%,4.638%
5/25/1998,4156.1,4,0.096%,5.010%
6/1/1998,4169.6,13.5,0.325%,16.891%
6/8/1998,4173.6,4,0.096%,4.988%
6/15/1998,4174.9,1.3,0.031%,1.620%
6/22/1998,4172.5,-2.4,-0.057%,-2.989%
6/29/1998,4171.4,-1.1,-0.026%,-1.371%
7/6/1998,4197.6,26.2,0.628%,32.660%
7/13/1998,4187.7,-9.9,-0.236%,-12.264%
7/20/1998,4192.1,4.4,0.105%,5.464%
7/27/1998,4193.3,1.2,0.029%,1.489%
8/3/1998,4200.4,7.1,0.169%,8.805%
8/10/1998,4217.1,16.7,0.398%,20.674%
8/17/1998,4215.8,-1.3,-0.031%,-1.603%
8/24/1998,4220.1,4.3,0.102%,5.304%
8/31/1998,4228.7,8.6,0.204%,10.597%
9/7/1998,4249.7,21,0.497%,25.824%
9/14/1998,4257.5,7.8,0.184%,9.544%
9/21/1998,4262,4.5,0.106%,5.496%
9/28/1998,4255.5,-6.5,-0.153%,-7.931%
10/5/1998,4274.3,18.8,0.442%,22.973%
10/12/1998,4285.6,11.3,0.264%,13.747%
10/19/1998,4297.2,11.6,0.271%,14.075%
10/26/1998,4311.4,14.2,0.330%,17.183%
11/2/1998,4318.2,6.8,0.158%,8.202%
11/9/1998,4335.1,16.9,0.391%,20.351%
11/16/1998,4338.4,3.3,0.076%,3.958%
11/23/1998,4336.9,-1.5,-0.035%,-1.798%
11/30/1998,4339.1,2.2,0.051%,2.638%
12/7/1998,4358,18.9,0.436%,22.650%
12/14/1998,4360,2,0.046%,2.386%
12/21/1998,4364.2,4.2,0.096%,5.009%
12/28/1998,4369.8,5.6,0.128%,6.672%
1/4/1999,4384,14.2,0.325%,16.898%
1/11/1999,4388.4,4.4,0.100%,5.219%
1/18/1999,4392.2,3.8,0.087%,4.503%
1/25/1999,4388.8,-3.4,-0.077%,-4.025%
2/1/1999,4407.2,18.4,0.419%,21.801%
2/8/1999,4409.8,2.6,0.059%,3.068%
2/15/1999,4415.3,5.5,0.125%,6.486%
2/22/1999,4418.8,3.5,0.079%,4.122%
3/1/1999,4418.3,-0.5,-0.011%,-0.588%
3/8/1999,4420.9,2.6,0.059%,3.060%
3/15/1999,4417.1,-3.8,-0.086%,-4.470%
3/22/1999,4419.8,2.7,0.061%,3.179%
3/29/1999,4425.3,5.5,0.124%,6.471%
4/5/1999,4440.9,15.6,0.353%,18.331%
4/12/1999,4444.5,3.6,0.081%,4.215%
4/19/1999,4453,8.5,0.191%,9.945%
4/26/1999,4458.9,5.9,0.132%,6.890%
5/3/1999,4454.5,-4.4,-0.099%,-5.131%
5/10/1999,4471.7,17.2,0.386%,20.079%
5/17/1999,4471.6,-0.1,-0.002%,-0.116%
5/24/1999,4476.8,5.2,0.116%,6.047%
5/31/1999,4487.9,11.1,0.248%,12.893%
6/7/1999,4492.4,4.5,0.100%,5.214%
6/14/1999,4494.1,1.7,0.038%,1.968%
6/21/1999,4499.3,5.2,0.116%,6.017%
6/28/1999,4498.3,-1,-0.022%,-1.156%
7/5/1999,4505.6,7.3,0.162%,8.439%
7/12/1999,4523.6,18,0.400%,20.774%
7/19/1999,4523.2,-0.4,-0.009%,-0.460%
7/26/1999,4532,8.8,0.195%,10.117%
8/2/1999,4532.4,0.4,0.009%,0.459%
8/9/1999,4540.9,8.5,0.188%,9.752%
8/16/1999,4544.7,3.8,0.084%,4.352%
8/23/1999,4540.8,-3.9,-0.086%,-4.462%
8/30/1999,4539.6,-1.2,-0.026%,-1.374%
9/6/1999,4550.1,10.5,0.231%,12.027%
9/13/1999,4553.7,3.6,0.079%,4.114%
9/20/1999,4561.3,7.6,0.167%,8.679%
9/27/1999,4557.8,-3.5,-0.077%,-3.990%
10/4/1999,4568.5,10.7,0.235%,12.208%
10/11/1999,4574.8,6.3,0.138%,7.171%
10/18/1999,4577.4,2.6,0.057%,2.955%
10/25/1999,4584.3,6.9,0.151%,7.839%
11/1/1999,4596.6,12.3,0.268%,13.952%
11/8/1999,4593.7,-2.9,-0.063%,-3.281%
11/15/1999,4599.6,5.9,0.128%,6.679%
11/22/1999,4603.9,4.3,0.093%,4.861%
11/29/1999,4601.1,-2.8,-0.061%,-3.163%
12/6/1999,4613.2,12.1,0.263%,13.675%
12/13/1999,4617.8,4.6,0.100%,5.185%
12/20/1999,4628,10.2,0.221%,11.486%
12/27/1999,4638.1,10.1,0.218%,11.348%
1/3/2000,4653.1,15,0.323%,16.817%
1/10/2000,4657.6,4.5,0.097%,5.029%
1/17/2000,4659.8,2.2,0.047%,2.456%
1/24/2000,4667,7.2,0.155%,8.035%
1/31/2000,4667.7,0.7,0.015%,0.780%
2/7/2000,4674.2,6.5,0.139%,7.241%
2/14/2000,4667.3,-6.9,-0.148%,-7.676%
2/21/2000,4666.7,-0.6,-0.013%,-0.668%
2/28/2000,4666.4,-0.3,-0.006%,-0.334%
3/6/2000,4678.3,11.9,0.255%,13.261%
3/13/2000,4685.9,7.6,0.162%,8.448%
3/20/2000,4704.1,18.2,0.388%,20.197%
3/27/2000,4711.6,7.5,0.159%,8.291%
4/3/2000,4728,16.4,0.348%,18.100%
4/10/2000,4751.8,23.8,0.503%,26.176%
4/17/2000,4760.7,8.9,0.187%,9.739%
4/24/2000,4767,6.3,0.132%,6.881%
5/1/2000,4754.7,-12.3,-0.258%,-13.417%
5/8/2000,4734.2,-20.5,-0.431%,-22.420%
5/15/2000,4739.9,5.7,0.120%,6.261%
5/22/2000,4744.7,4.8,0.101%,5.266%
5/29/2000,4747.2,2.5,0.053%,2.740%
6/5/2000,4759.1,11.9,0.251%,13.035%
6/12/2000,4761.9,2.8,0.059%,3.059%
6/19/2000,4758.2,-3.7,-0.078%,-4.040%
6/26/2000,4760.7,2.5,0.053%,2.732%
7/3/2000,4766.6,5.9,0.124%,6.444%
7/10/2000,4776.8,10.2,0.214%,11.127%
7/17/2000,4773.6,-3.2,-0.067%,-3.484%
7/24/2000,4782.4,8.8,0.184%,9.586%
7/31/2000,4786.2,3.8,0.079%,4.132%
8/7/2000,4794.3,8.1,0.169%,8.800%
8/14/2000,4794.8,0.5,0.010%,0.542%
8/21/2000,4811.1,16.3,0.340%,17.677%
8/28/2000,4816.9,5.8,0.121%,6.269%
9/4/2000,4828.2,11.3,0.235%,12.199%
9/11/2000,4838.6,10.4,0.215%,11.201%
9/18/2000,4843.5,4.9,0.101%,5.266%
9/25/2000,4844.2,0.7,0.014%,0.752%
10/2/2000,4854.2,10,0.206%,10.734%
10/9/2000,4859,4.8,0.099%,5.142%
10/16/2000,4859.5,0.5,0.010%,0.535%
10/23/2000,4858.8,-0.7,-0.014%,-0.749%
10/30/2000,4856.4,-2.4,-0.049%,-2.569%
11/6/2000,4859.3,2.9,0.060%,3.105%
11/13/2000,4860.8,1.5,0.031%,1.605%
11/20/2000,4865.5,4.7,0.097%,5.028%
11/27/2000,4880.6,15.1,0.310%,16.138%
12/4/2000,4888.2,7.6,0.156%,8.097%
12/11/2000,4895,6.8,0.139%,7.234%
12/18/2000,4908.2,13.2,0.270%,14.022%
12/25/2000,4923.6,15.4,0.314%,16.316%
1/1/2001,4947.5,23.9,0.485%,25.242%
1/8/2001,4953.5,6,0.121%,6.306%
1/15/2001,4964.9,11.4,0.230%,11.967%
1/22/2001,4971.5,6.6,0.133%,6.913%
1/29/2001,4964.1,-7.4,-0.149%,-7.740%
2/5/2001,4984,19.9,0.401%,20.846%
2/12/2001,4992.2,8.2,0.165%,8.555%
2/19/2001,5000.3,8.1,0.162%,8.437%
2/26/2001,5017.8,17.5,0.350%,18.199%
3/5/2001,5040.7,22.9,0.456%,23.732%
3/12/2001,5046.7,6,0.119%,6.190%
3/19/2001,5052.2,5.5,0.109%,5.667%
3/26/2001,5072.5,20.3,0.402%,20.894%
4/2/2001,5094.2,21.7,0.428%,22.245%
4/9/2001,5115.9,21.7,0.426%,22.151%
4/16/2001,5132.1,16.2,0.317%,16.466%
4/23/2001,5137.4,5.3,0.103%,5.370%
4/30/2001,5121,-16.4,-0.319%,-16.600%
5/7/2001,5114.3,-6.7,-0.131%,-6.803%
5/14/2001,5113.2,-1.1,-0.022%,-1.118%
5/21/2001,5124.1,10.9,0.213%,11.085%
5/28/2001,5119.7,-4.4,-0.086%,-4.465%
6/4/2001,5150.1,30.4,0.594%,30.877%
6/11/2001,5154.4,4.3,0.083%,4.342%
6/18/2001,5164.7,10.3,0.200%,10.391%
6/25/2001,5161.5,-3.2,-0.062%,-3.222%
7/2/2001,5175.3,13.8,0.267%,13.903%
7/9/2001,5179.4,4.1,0.079%,4.120%
7/16/2001,5192.7,13.3,0.257%,13.353%
7/23/2001,5193.7,1,0.019%,1.001%
7/30/2001,5201.2,7.5,0.144%,7.509%
8/6/2001,5210.9,9.7,0.186%,9.698%
8/13/2001,5220,9.1,0.175%,9.081%
8/20/2001,5226,6,0.115%,5.977%
8/27/2001,5231.4,5.4,0.103%,5.373%
9/3/2001,5243.5,12.1,0.231%,12.027%
9/10/2001,5265.5,22,0.420%,21.817%
9/17/2001,5436.1,170.6,3.240%,168.478%
9/24/2001,5354.4,-81.7,-1.503%,-78.152%
10/1/2001,5329.4,-25,-0.467%,-24.279%
10/8/2001,5320.4,-9,-0.169%,-8.781%
10/15/2001,5319.7,-0.7,-0.013%,-0.684%
10/22/2001,5322,2.3,0.043%,2.248%
10/29/2001,5329.4,7.4,0.139%,7.230%
11/5/2001,5350.3,20.9,0.392%,20.393%
11/12/2001,5357.4,7.1,0.133%,6.901%
11/19/2001,5366.4,9,0.168%,8.736%
11/26/2001,5383.3,16.9,0.315%,16.376%
12/3/2001,5388.6,5.3,0.098%,5.120%
12/10/2001,5413.2,24.6,0.457%,23.739%
12/17/2001,5430.6,17.4,0.321%,16.715%
12/24/2001,5418.9,-11.7,-0.215%,-11.203%
12/31/2001,5438.1,19.2,0.354%,18.424%
1/7/2002,5436.2,-1.9,-0.035%,-1.817%
1/14/2002,5437.9,1.7,0.031%,1.626%
1/21/2002,5438.5,0.6,0.011%,0.574%
1/28/2002,5447.1,8.6,0.158%,8.223%
2/4/2002,5461.1,14,0.257%,13.365%
2/11/2002,5466.8,5.7,0.104%,5.427%
2/18/2002,5469.7,2.9,0.053%,2.758%
2/25/2002,5478.3,8.6,0.157%,8.176%
3/4/2002,5484,5.7,0.104%,5.410%
3/11/2002,5484.4,0.4,0.007%,0.379%
3/18/2002,5482.9,-1.5,-0.027%,-1.422%
3/25/2002,5477.2,-5.7,-0.104%,-5.406%
4/1/2002,5489.8,12.6,0.230%,11.962%
4/8/2002,5476,-13.8,-0.251%,-13.072%
4/15/2002,5488,12,0.219%,11.395%
4/22/2002,5483.2,-4.8,-0.087%,-4.548%
4/29/2002,5484.2,1,0.018%,0.948%
5/6/2002,5496.2,12,0.219%,11.378%
5/13/2002,5505.1,8.9,0.162%,8.420%
5/20/2002,5515,9.9,0.180%,9.351%
5/27/2002,5519.3,4.3,0.078%,4.054%
6/3/2002,5509.7,-9.6,-0.174%,-9.045%
6/10/2002,5523.3,13.6,0.247%,12.836%
6/17/2002,5533.9,10.6,0.192%,9.980%
6/24/2002,5539.4,5.5,0.099%,5.168%
7/1/2002,5554.2,14.8,0.267%,13.893%
7/8/2002,5548.7,-5.5,-0.099%,-5.149%
7/15/2002,5568.4,19.7,0.355%,18.462%
7/22/2002,5582.3,13.9,0.250%,12.980%
7/29/2002,5602,19.7,0.353%,18.351%
8/5/2002,5610.2,8.2,0.146%,7.612%
8/12/2002,5616.4,6.2,0.111%,5.747%
8/19/2002,5618.2,1.8,0.032%,1.667%
8/26/2002,5623.1,4.9,0.087%,4.535%
9/2/2002,5629.2,6.1,0.108%,5.641%
9/9/2002,5638.6,9.4,0.167%,8.683%
9/16/2002,5644.3,5.7,0.101%,5.257%
9/23/2002,5641,-3.3,-0.058%,-3.040%
9/30/2002,5655.2,14.2,0.252%,13.090%
10/7/2002,5662.1,6.9,0.122%,6.345%
10/14/2002,5676.8,14.7,0.260%,13.500%
10/21/2002,5693,16.2,0.285%,14.839%
10/28/2002,5706.2,13.2,0.232%,12.057%
11/4/2002,5723.7,17.5,0.307%,15.948%
11/11/2002,5732,8.3,0.145%,7.541%
11/18/2002,5743.3,11.3,0.197%,10.251%
11/25/2002,5735,-8.3,-0.145%,-7.515%
12/2/2002,5756.9,21.9,0.382%,19.857%
12/9/2002,5751.1,-5.8,-0.101%,-5.239%
12/16/2002,5764.2,13.1,0.228%,11.845%
12/23/2002,5760.2,-4,-0.069%,-3.608%
12/30/2002,5762.3,2.1,0.036%,1.896%
1/6/2003,5773,10.7,0.186%,9.656%
1/13/2003,5783.3,10.3,0.178%,9.278%
1/20/2003,5797.4,14.1,0.244%,12.678%
1/27/2003,5806.4,9,0.155%,8.073%
2/3/2003,5803.6,-2.8,-0.048%,-2.508%
2/10/2003,5825.9,22.3,0.384%,19.981%
2/17/2003,5847,21.1,0.362%,18.833%
2/24/2003,5823,-24,-0.410%,-21.344%
3/3/2003,5828.7,5.7,0.098%,5.090%
3/10/2003,5844.5,15.8,0.271%,14.096%
3/17/2003,5855.7,11.2,0.192%,9.965%
3/24/2003,5847.6,-8.1,-0.138%,-7.193%
3/31/2003,5858.1,10.5,0.180%,9.337%
4/7/2003,5867.7,9.6,0.164%,8.522%
4/14/2003,5874.5,6.8,0.116%,6.026%
4/21/2003,5873.5,-1,-0.017%,-0.885%
4/28/2003,5912.9,39.4,0.671%,34.882%
5/5/2003,5947.3,34.4,0.582%,30.252%
5/12/2003,5946.3,-1,-0.017%,-0.874%
5/19/2003,5938.8,-7.5,-0.126%,-6.559%
5/26/2003,5947.3,8.5,0.143%,7.443%
6/2/2003,5956.5,9.2,0.155%,8.044%
6/9/2003,5963.7,7.2,0.121%,6.286%
6/16/2003,5985.3,21.6,0.362%,18.834%
6/23/2003,5988.7,3.4,0.057%,2.954%
6/30/2003,6003.4,14.7,0.245%,12.764%
7/7/2003,6022.5,19.1,0.318%,16.544%
7/14/2003,6017.9,-4.6,-0.076%,-3.972%
7/21/2003,6024.6,6.7,0.111%,5.789%
7/28/2003,6035.5,10.9,0.181%,9.408%
8/4/2003,6075.9,40.4,0.669%,34.807%
8/11/2003,6083.5,7.6,0.125%,6.504%
8/18/2003,6118.7,35.2,0.579%,30.088%
8/25/2003,6071.3,-47.4,-0.775%,-40.283%
9/1/2003,6085.7,14.4,0.237%,12.333%
9/8/2003,6071.3,-14.4,-0.237%,-12.304%
9/15/2003,6066,-5.3,-0.087%,-4.539%
9/22/2003,6053.1,-12.9,-0.213%,-11.058%
9/29/2003,6048.8,-4.3,-0.071%,-3.694%
10/6/2003,6044.8,-4,-0.066%,-3.439%
10/13/2003,6051.1,6.3,0.104%,5.420%
10/20/2003,6054.9,3.8,0.063%,3.266%
10/27/2003,6055.7,0.8,0.013%,0.687%
11/3/2003,6044.4,-11.3,-0.187%,-9.703%
11/10/2003,6057.5,13.1,0.217%,11.270%
11/17/2003,6061.8,4.3,0.071%,3.691%
11/24/2003,6049.6,-12.2,-0.201%,-10.466%
12/1/2003,6061.1,11.5,0.190%,9.885%
12/8/2003,6052.5,-8.6,-0.142%,-7.378%
12/15/2003,6054.1,1.6,0.026%,1.375%
12/22/2003,6056.4,2.3,0.038%,1.976%
12/29/2003,6053.1,-3.3,-0.054%,-2.833%
1/5/2004,6053,-0.1,-0.002%,-0.086%
1/12/2004,6051.7,-1.3,-0.021%,-1.117%
1/19/2004,6056.6,4.9,0.081%,4.210%
1/26/2004,6071,14.4,0.238%,12.363%
2/2/2004,6084.8,13.8,0.227%,11.820%
2/9/2004,6084.6,-0.2,-0.003%,-0.171%
2/16/2004,6103.4,18.8,0.309%,16.067%
2/23/2004,6107.8,4.4,0.072%,3.749%
3/1/2004,6117.5,9.7,0.159%,8.258%
3/8/2004,6112.5,-5,-0.082%,-4.250%
3/15/2004,6128.3,15.8,0.258%,13.441%
3/22/2004,6148.6,20.3,0.331%,17.225%
3/29/2004,6156.1,7.5,0.122%,6.343%
4/5/2004,6161.7,5.6,0.091%,4.730%
4/12/2004,6160.2,-1.5,-0.024%,-1.266%
4/19/2004,6163.6,3.4,0.055%,2.870%
4/26/2004,6195.8,32.2,0.522%,27.166%
5/3/2004,6226.4,30.6,0.494%,25.682%
5/10/2004,6247.5,21.1,0.339%,17.622%
5/17/2004,6269.2,21.7,0.347%,18.062%
5/24/2004,6256.2,-13,-0.207%,-10.783%
5/31/2004,6259.4,3.2,0.051%,2.660%
6/7/2004,6250.1,-9.3,-0.149%,-7.726%
6/14/2004,6259.4,9.3,0.149%,7.737%
6/21/2004,6260.6,1.2,0.019%,0.997%
6/28/2004,6259.3,-1.3,-0.021%,-1.080%
7/5/2004,6256.5,-2.8,-0.045%,-2.326%
7/12/2004,6269.4,12.9,0.206%,10.722%
7/19/2004,6268,-1.4,-0.022%,-1.161%
7/26/2004,6278.2,10.2,0.163%,8.462%
8/2/2004,6281.8,3.6,0.057%,2.982%
8/9/2004,6285.9,4.1,0.065%,3.394%
8/16/2004,6301.5,15.6,0.248%,12.905%
8/23/2004,6305.5,4,0.063%,3.301%
8/30/2004,6298.2,-7.3,-0.116%,-6.020%
9/6/2004,6308.5,10.3,0.164%,8.504%
9/13/2004,6320.8,12.3,0.195%,10.139%
9/20/2004,6341.5,20.7,0.327%,17.029%
9/27/2004,6348.8,7.3,0.115%,5.986%
10/4/2004,6341.2,-7.6,-0.120%,-6.225%
10/11/2004,6348.6,7.4,0.117%,6.068%
10/18/2004,6355.1,6.5,0.102%,5.324%
10/25/2004,6368,12.9,0.203%,10.555%
11/1/2004,6381.7,13.7,0.215%,11.187%
11/8/2004,6374.6,-7.1,-0.111%,-5.785%
11/15/2004,6387.2,12.6,0.198%,10.278%
11/22/2004,6393.6,6.4,0.100%,5.210%
11/29/2004,6390,-3.6,-0.056%,-2.928%
12/6/2004,6392.9,2.9,0.045%,2.360%
12/13/2004,6399.6,6.7,0.105%,5.450%
